property_id,postal_code,type_of_property,subtype_of_property,price,bedrooms,living_area,openfire,terrace,garden,rooms,bathrooms,region,province,state_of_property,facade_count,heating,kitchen,furnished,swimmingpool
10649400,4020,APARTMENT,PENTHOUSE,625000,3,188,False,,False,,2,Wallonie,Liège,AS_NEW,3,ELECTRIC,HYPER_EQUIPPED,False,
11201640,2300,HOUSE,HOUSE,185000,3,113,True,,True,,1,Flandres,Anvers,TO_RENOVATE,3,GAS,SEMI_EQUIPPED,,
11154845,8300,APARTMENT,APARTMENT,795000,2,98,False,29,False,,2,Flandres,Flandre Occidentale,AS_NEW,2,GAS,USA_HYPER_EQUIPPED,False,False
11201648,1020,HOUSE,APARTMENT_BLOCK,835000,6,,False,,False,,3,Bruxelles,Bruxelles,GOOD,3,GAS,INSTALLED,,
11201650,6230,HOUSE,VILLA,449000,4,140,False,15,False,,2,Wallonie,Hainaut,AS_NEW,4,ELECTRIC,USA_HYPER_EQUIPPED,False,False
11201641,4020,HOUSE,APARTMENT_BLOCK,339000,0,,False,,False,14,2,Wallonie,Liège,AS_NEW,2,ELECTRIC,,,False
10964408,9170,HOUSE,BUNGALOW,379000,2,158,False,64,False,,1,Flandres,Flandre Orientale,GOOD,3,GAS,INSTALLED,False,False
11201660,7301,HOUSE,HOUSE,140000,2,113,False,,False,,,Wallonie,Hainaut,TO_BE_DONE_UP,2,GAS,,,
11201661,2800,APARTMENT,APARTMENT,732000,3,,True,,True,,1,Flandres,Anvers,GOOD,3,GAS,INSTALLED,,
11072854,7300,HOUSE,HOUSE,165000,3,242,False,,False,,1,Wallonie,Hainaut,TO_BE_DONE_UP,2,GAS,,,
11201666,4670,HOUSE,VILLA,449000,3,257,False,29,False,,1,Wallonie,Liège,,4,FUELOIL,INSTALLED,False,
11201651,2320,APARTMENT,PENTHOUSE,535000,2,169,False,,False,,2,Flandres,Anvers,,2,GAS,,False,False
11201665,2490,HOUSE,HOUSE,269000,3,154,False,,False,,,Flandres,Anvers,GOOD,3,FUELOIL,,,
11201671,4020,HOUSE,MIXED_USE_BUILDING,149000,3,190,False,,False,,1,Wallonie,Liège,TO_RENOVATE,2,GAS,NOT_INSTALLED,False,
11201670,8200,APARTMENT,KOT,105000,0,17,False,,False,1,,Flandres,Flandre Occidentale,GOOD,,,,,
11114733,2400,APARTMENT,APARTMENT,264000,2,90,False,,False,1,,Flandres,Anvers,GOOD,,GAS,,,
11201672,1850,HOUSE,MANOR_HOUSE,980000,8,507,False,,False,1,3,Flandres,Brabant Flamand,GOOD,4,GAS,,,True
11201677,9772,HOUSE,HOUSE,790000,3,230,False,,False,,1,Flandres,Flandre Orientale,,3,GAS,USA_HYPER_EQUIPPED,,
11201674,9831,HOUSE,VILLA,2480000,4,345,False,32,False,5,3,Flandres,Flandre Orientale,TO_RENOVATE,4,,,,
11201676,1600,HOUSE,HOUSE,740000,4,238,False,17,False,,2,Flandres,Brabant Flamand,,4,GAS,,False,False
11201681,4802,APARTMENT,APARTMENT,192000,2,106,False,3,False,,1,Wallonie,Liège,GOOD,2,GAS,INSTALLED,,
11201680,4802,HOUSE,VILLA,369000,4,152,True,13,True,,1,Wallonie,Liège,,4,GAS,INSTALLED,,
11201684,7340,HOUSE,HOUSE,210000,2,180,False,,False,,2,Wallonie,Hainaut,AS_NEW,3,GAS,USA_INSTALLED,,
11201682,9240,HOUSE,HOUSE,585000,6,504,False,25,False,,2,Flandres,Flandre Orientale,TO_RENOVATE,2,FUELOIL,NOT_INSTALLED,,
11201678,9940,HOUSE,HOUSE,339000,2,120,False,,False,,1,Flandres,Flandre Orientale,GOOD,3,GAS,INSTALLED,,
11201695,7130,HOUSE,HOUSE,145000,3,,False,,False,,1,Wallonie,Hainaut,,2,FUELOIL,SEMI_EQUIPPED,,
11201703,7100,HOUSE,HOUSE,525000,4,,True,,True,,1,Wallonie,Hainaut,,,GAS,NOT_INSTALLED,,
10962750,7623,HOUSE,VILLA,545000,3,199,False,,False,,1,Wallonie,Hainaut,AS_NEW,4,FUELOIL,INSTALLED,False,False
11201701,2100,HOUSE,HOUSE,315000,5,182,False,,False,,1,Flandres,Anvers,TO_BE_DONE_UP,2,GAS,SEMI_EQUIPPED,,
11201694,1320,HOUSE,HOUSE,300000,3,105,False,,False,,1,Wallonie,Brabant Wallon,TO_RENOVATE,4,,,,
10526199,4431,APARTMENT,APARTMENT,490000,2,163,False,102,False,,2,Wallonie,Liège,AS_NEW,4,,INSTALLED,,
11013607,1495,APARTMENT,APARTMENT,495000,3,141,False,17,False,,2,Wallonie,Brabant Wallon,AS_NEW,3,,HYPER_EQUIPPED,False,False
10918665,9000,APARTMENT,PENTHOUSE,425000,2,118,False,11,False,,1,Flandres,Flandre Orientale,AS_NEW,,GAS,HYPER_EQUIPPED,False,False
11053123,8420,APARTMENT,APARTMENT,485000,3,139,False,,False,8,2,Flandres,Flandre Occidentale,GOOD,4,GAS,HYPER_EQUIPPED,,
10892395,1800,APARTMENT,APARTMENT,421457,2,119,False,,False,,1,Flandres,Brabant Flamand,AS_NEW,4,GAS,HYPER_EQUIPPED,False,
