iter	Passed	Remaining
1441	6828	2642
1442	6834	2637
1443	6838	2633
1444	6843	2628
1445	6848	2623
1446	6852	2618
1447	6857	2614
1448	6861	2609
1449	6867	2604
1450	6871	2600
1451	6876	2595
1452	6880	2590
1453	6886	2585
1454	6890	2581
1455	6895	2576
1456	6900	2571
1457	6904	2566
1458	6909	2561
1459	6913	2557
1460	6919	2552
1461	6923	2547
1462	6928	2543
1463	6933	2538
1464	6938	2533
1465	6942	2528
1466	6948	2524
1467	6953	2519
1468	6958	2515
1469	6963	2510
1470	6968	2505
1471	6973	2501
1472	6978	2496
1473	6982	2491
1474	6987	2487
1475	6992	2482
1476	6997	2477
1477	7002	2473
1478	7007	2468
1479	7011	2463
1480	7016	2458
1481	7020	2453
1482	7024	2448
1483	7029	2444
1484	7034	2439
1485	7039	2434
1486	7043	2429
1487	7049	2425
1488	7053	2420
1489	7058	2415
1490	7062	2411
1491	7067	2406
1492	7071	2401
1493	7076	2396
1494	7081	2391
1495	7085	2387
1496	7090	2382
1497	7095	2377
1498	7100	2373
1499	7104	2368
1500	7109	2363
1501	7114	2358
1502	7119	2354
1503	7123	2349
1504	7128	2344
1505	7132	2339
1506	7138	2335
1507	7142	2330
1508	7147	2325
1509	7153	2321
1510	7157	2316
1511	7162	2311
1512	7167	2307
1513	7172	2302
1514	7176	2297
1515	7181	2292
1516	7186	2288
1517	7191	2283
1518	7196	2278
1519	7201	2274
1520	7205	2269
1521	7210	2264
1522	7214	2259
1523	7218	2254
1524	7223	2250
1525	7228	2245
1526	7232	2240
1527	7237	2235
1528	7242	2231
1529	7247	2226
1530	7252	2221
1531	7256	2216
1532	7261	2212
1533	7266	2207
1534	7270	2202
1535	7275	2197
1536	7280	2193
1537	7285	2188
1538	7290	2183
1539	7294	2178
1540	7299	2174
1541	7304	2169
1542	7309	2164
1543	7313	2159
1544	7317	2155
1545	7323	2150
1546	7328	2145
1547	7332	2141
1548	7337	2136
1549	7341	2131
1550	7346	2126
1551	7350	2121
1552	7354	2116
1553	7360	2112
1554	7364	2107
1555	7368	2102
1556	7373	2097
1557	7377	2093
1558	7382	2088
1559	7387	2083
1560	7391	2078
1561	7397	2074
1562	7401	2069
1563	7406	2064
1564	7410	2059
1565	7415	2055
1566	7419	2050
1567	7424	2045
1568	7430	2041
1569	7435	2036
1570	7439	2031
1571	7444	2026
1572	7449	2022
1573	7453	2017
1574	7459	2012
1575	7464	2008
1576	7468	2003
1577	7473	1998
1578	7479	1994
1579	7483	1989
1580	7487	1984
1581	7492	1979
1582	7497	1975
1583	7501	1970
1584	7506	1965
1585	7511	1960
1586	7515	1955
1587	7520	1951
1588	7524	1946
1589	7529	1941
1590	7533	1936
1591	7539	1932
1592	7544	1927
1593	7549	1922
1594	7553	1918
1595	7559	1913
1596	7564	1908
1597	7569	1904
1598	7573	1899
1599	7578	1894
1600	7582	1889
1601	7587	1885
1602	7592	1880
1603	7596	1875
1604	7601	1870
1605	7606	1866
1606	7611	1861
1607	7616	1856
1608	7619	1851
1609	7624	1847
1610	7628	1842
1611	7632	1837
1612	7637	1832
1613	7642	1827
1614	7646	1822
1615	7650	1817
1616	7656	1813
1617	7661	1808
1618	7665	1803
1619	7669	1799
1620	7674	1794
1621	7678	1789
1622	7682	1784
1623	7687	1779
1624	7692	1775
1625	7696	1770
1626	7701	1765
1627	7706	1761
1628	7711	1756
1629	7715	1751
1630	7719	1746
1631	7724	1741
1632	7728	1737
1633	7733	1732
1634	7738	1727
1635	7743	1722
1636	7748	1718
1637	7752	1713
1638	7757	1708
1639	7761	1703
1640	7766	1699
1641	7770	1694
1642	7774	1689
1643	7778	1684
1644	7783	1679
1645	7787	1674
1646	7792	1670
1647	7796	1665
1648	7800	1660
1649	7805	1655
1650	7810	1650
1651	7814	1646
1652	7820	1641
1653	7824	1636
1654	7828	1632
1655	7833	1627
1656	7850	1625
1657	7859	1621
1658	7864	1616
1659	7869	1611
1660	7874	1607
1661	7878	1602
1662	7883	1597
1663	7888	1592
1664	7892	1588
1665	7897	1583
1666	7901	1578
1667	7906	1573
1668	7910	1568
1669	7915	1564
1670	7920	1559
1671	7924	1554
1672	7929	1549
1673	7933	1545
1674	7938	1540
1675	7943	1535
1676	7947	1530
1677	7952	1526
1678	7958	1521
1679	7962	1516
1680	7966	1511
1681	7971	1507
1682	7975	1502
1683	7980	1497
1684	7985	1492
